       z      mass      cnfw      a      b
       2.0000000      -8.3939390       12.727894       12.856263       77.148634
       2.0000000      -8.0909090       12.502557       12.620392       72.607162
       2.0000000      -7.7878790       12.275454       12.383132       68.232991
       2.0000000      -7.4848490       12.046593       12.144628       64.024312
       2.0000000      -7.1818171       11.816059       11.905070       59.979223
       2.0000000      -6.8787870       11.584032       11.664735       56.095817
       2.0000000      -6.5757570       11.350780       11.423965       52.372034
       2.0000000      -6.2727270       11.116647       11.181976       48.805768
       2.0000000      -5.9696970       10.881256       10.938209       45.394838
       2.0000000      -5.6666670       10.643265       10.695147       42.136977
       2.0000000      -5.3636351       10.405590       10.449348       39.029821
       2.0000000      -5.0606050       10.164964       10.204566       36.070991
       2.0000000      -4.7575750       9.9247360       9.9575100       33.257954
       2.0000000      -4.4545450       9.6820240       9.7103062       30.588115
       2.0000000      -4.1515150       9.4384785       9.4629278       28.058787
       2.0000000      -3.8484848       9.1942291       9.2150478       25.667195
       2.0000000      -3.5454547       8.9490261       8.9665155       23.410469
       2.0000000      -3.2424228       8.7028198       8.7173662       21.285630
       2.0000000      -2.9393928       8.4557676       8.4678259       19.289650
       2.0000000      -2.6363628       8.2082348       8.2182913       17.419377
       2.0000000      -2.3333328       7.9607668       7.9693227       15.671608
       2.0000000      -2.0303028       7.7113380       7.7196035       14.043111
       2.0000000      -1.7272729       7.4630313       7.4706688       12.530627
       2.0000000      -1.4242409       7.2130089       7.2211413       11.130795
       2.0000000      -1.1212109       6.9633675       6.9723959       9.8400642
       2.0000000     -0.81818092       6.7138686       6.7241693       8.6546052
       2.0000000     -0.51515090       6.4647217       6.4765964       7.5703899
       2.0000000     -0.21212086       6.2165623       6.2302103       6.5832279
       2.0000000     0.090909153       5.9693947       5.9859028       5.6887864
       2.0000000      0.39393917       5.7240167       5.7429080       4.8826076
       2.0000000      0.69697106       5.4809108       5.5034523       4.1601128
       2.0000000       1.0000011       5.2409911       5.2663202       3.5166342
       2.0000000       1.3030311       5.0045562       5.0330834       2.9473970
       2.0000000       1.6060611       4.7722731       4.8042417       2.4475529
